symbol,name,sector,price,position_pct,rsi,rating,tech_score,market_cap,pe_ttm,pe_fwd,rev_growth,profit_margin,roe,debt_to_eq,vwap_60,vwap_120,premium_60vwap,up_vol_vs_down,cmf_20,obv_60d,vol_trend_pct,chip_status,institutional,inst_score
000536.SZ,"Hua Ying Technology (Group) Co.,Ltd.",Technology,4.04,8.6,41.2,A+,5,11230093312,,,-0.197,-0.74821,-0.84827006,214.941,4.5,5.28,-10.3,1.15,-0.059,0.001,-54.6,深套(price < 60d VWAP -5%),➖ 量价中性,0
000568.SZ,"Luzhou Laojiao Co.,Ltd",Consumer Defensive,94.78,1.0,28.8,A+,6,136449024000,13.733333,12.014261,-0.142,0.40757,0.19558,12.925,107.38,115.84,-11.74,1.1,-0.029,-1.763,-10.1,深套(price < 60d VWAP -5%),➖ 量价中性,0
000596.SZ,"Anhui Gujing Distillery Co., Ltd.",Consumer Defensive,102.54,1.0,40.2,A+,5,52484694016,18.593632,12.789615,-0.186,0.16497,0.10618,2.181,113.82,129.12,-9.91,1.08,0.031,-0.398,-5.8,深套(price < 60d VWAP -5%),➖ 量价中性,0
000625.SZ,Chongqing Changan Automobile Company Limited,Consumer Cyclical,9.17,0.2,17.3,A+,6,90108485632,29.32258,9.774194,-0.043,0.01891,0.02676,1.593,10.3,11.09,-10.96,1.09,-0.354,-0.421,-27.4,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
000768.SZ,AVIC Xi'an Aircraft Industry Group Company Ltd.,Industrials,25.55,31.4,61.1,A,4,70238208000,63.15,53.744682,-0.17,0.028010001,0.050479997,17.603,27.16,27.51,-5.93,1.31,0.097,0.252,3.6,深套(price < 60d VWAP -5%),✅ 放量上涨缩量回调 → 主力疑似建仓,2
000799.SZ,"Jiugui Liquor Co., Ltd.",Consumer Defensive,43.03,11.4,46.9,A+,5,13955700736,,112.04446,-0.078,-0.030050002,-0.00836,0.032,48.39,54.15,-11.08,0.89,0.098,-0.123,-32.7,深套(price < 60d VWAP -5%),➖ 量价中性,0
000858.SZ,"Wuliangye Yibin Co.,Ltd.",Consumer Defensive,90.56,1.1,18.2,A+,6,346045349888,27.515432,15.472944,0.337,0.27227,0.092080005,0.338,101.07,105.54,-10.4,1.19,-0.185,-0.473,-8.4,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
000963.SZ,"Huadong Medicine Co., Ltd",Healthcare,33.56,4.0,41.3,A+,5,58346823680,16.635,13.228628,0.042,0.07948,0.13797,8.28,35.03,37.09,-4.2,1.17,-0.099,-0.215,-4.4,成本附近震荡,➖ 量价中性,0
002230.SZ,"iFLYTEK CO.,LTD",Technology,48.83,17.3,48.7,A+,5,118662742016,133.51352,77.076706,0.132,0.03113,0.04538,45.64,51.5,54.54,-5.19,1.09,0.039,0.007,-15.3,深套(price < 60d VWAP -5%),➖ 量价中性,0
002304.SZ,"Jiangsu Yanghe Distillery Co., Ltd.",Consumer Defensive,47.62,0.0,30.0,A+,6,70833045504,69.14706,16.832956,-0.26,0.062179998,0.019809999,0.434,51.54,56.89,-7.61,1.03,-0.219,-0.592,-8.4,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
002362.SZ,"Hanwang Technology Co.,Ltd",Technology,18.87,10.8,49.2,A+,5,4639749120,,54.228573,-0.061,-0.10373,-0.15855,31.733,20.02,21.86,-5.75,0.94,0.127,-0.021,-49.8,深套(price < 60d VWAP -5%),➖ 量价中性,0
002594.SZ,BYD Company Limited,Consumer Cyclical,99.23,26.1,44.6,A,4,898955673600,50.82474,17.61746,-0.118,0.035150003,0.11147001,55.07,100.42,98.64,-1.18,1.33,0.044,-0.04,16.4,成本附近震荡,➖ 量价中性,0
300024.SZ,"Siasun Robot&Automation Co.,Ltd.",Industrials,15.35,15.5,52.7,A+,5,24110546944,,140.0,-0.084,-0.1083,-0.09656,54.842,15.97,17.25,-3.9,1.02,-0.008,0.033,-43.9,成本附近震荡,➖ 量价中性,0
300122.SZ,"Chongqing Zhifei Biological Products Co., Ltd.",Healthcare,15.8,11.7,53.8,A+,5,37343121408,,10.333453,-0.086,-1.6887,-0.64053,71.944,16.0,17.9,-1.22,1.2,-0.148,-0.06,-31.2,成本附近震荡,🔻 放量下跌 → 主力疑似派发,-2
300168.SZ,"Wonders Information Co., Ltd",Technology,5.84,17.5,54.5,A+,5,8456489984,,9.467742,-0.006,-0.26466998,-0.36288,241.118,5.99,6.61,-2.46,1.16,-0.128,-0.088,-10.5,成本附近震荡,🔻 放量下跌 → 主力疑似派发,-2
300229.SZ,"TRS Information Technology Co., Ltd.",Technology,19.12,19.2,52.7,A+,5,16904565760,,53.75,-0.477,-0.77077,-0.08882,0.317,20.71,22.44,-7.7,0.94,-0.072,0.038,-28.6,深套(price < 60d VWAP -5%),➖ 量价中性,0
300347.SZ,"Hangzhou Tigermed Consulting Co., Ltd",Healthcare,51.53,33.3,38.1,A,4,42267766784,53.945053,32.505413,0.152,0.10912,0.0423,7.007,56.66,56.4,-9.05,1.13,0.063,-3.532,-7.7,深套(price < 60d VWAP -5%),✅ 资金温和净流入,1
300760.SZ,"Shenzhen Mindray Bio-Medical Electronics Co., Ltd.",Healthcare,166.39,11.9,50.8,A+,5,201192521728,25.647606,18.34607,0.014,0.23466,0.18518,0.765,170.55,185.15,-2.44,1.18,-0.004,-0.303,1.5,成本附近震荡,➖ 量价中性,0
600085.SS,"Beijing Tongrentang Co., Ltd",Healthcare,28.07,8.4,51.5,A+,5,38085730304,35.151897,25.477064,-0.116,0.06479,0.06453,16.117,29.29,31.09,-4.15,1.06,0.071,-0.843,-20.0,成本附近震荡,➖ 量价中性,0
600104.SS,SAIC Motor Corporation Limited,Consumer Cyclical,13.4,0.1,33.2,A+,5,152887197696,14.943821,8.16026,-0.003,0.01541,0.049450003,26.176,14.19,14.77,-5.59,1.05,-0.196,-1.553,-14.7,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
600271.SS,Aisino Co.Ltd.,Technology,8.63,10.1,50.0,A+,5,15990394880,,28.766666,-0.192,-0.13008,-0.053439997,2.13,9.15,10.38,-5.72,1.0,0.212,-0.0,-45.9,深套(price < 60d VWAP -5%),➖ 量价中性,0
600276.SS,"Jiangsu Hengrui Pharmaceuticals Co.,Ltd",Healthcare,56.11,29.2,53.9,A,4,370753994752,45.786884,32.597088,0.13,0.24933,0.14542,0.105,55.82,57.97,0.52,1.23,-0.207,-0.009,7.3,成本附近震荡,🔻 放量下跌 → 主力疑似派发,-2
600316.SS,"Jiangxi Hongdu Aviation Industry Co., Ltd.",Industrials,34.22,26.0,35.7,A,4,24640055296,429.50003,110.838715,0.735,0.00691,0.01008,,40.03,38.51,-14.52,1.34,-0.188,-0.114,-7.6,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
600436.SS,"Zhangzhou Pientzehuang Pharmaceutical., Ltd.",Healthcare,139.52,0.7,31.1,A+,5,83167281152,43.761906,28.305956,-0.127,0.22117001,0.11835,6.778,154.41,161.94,-9.64,1.19,-0.336,-0.688,-4.7,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
600760.SS,AVIC Shenyang Aircraft Company Limited,Industrials,49.91,27.5,52.8,A,4,139118100480,42.301723,40.55372,0.371,0.078779995,0.15845999,2.35,51.73,55.38,-3.51,1.37,0.09,-0.443,-27.8,成本附近震荡,✅ 资金温和净流入,1
600809.SS,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",Consumer Defensive,137.01,2.6,39.5,A+,5,163231203328,14.866667,12.46525,-0.097,0.29584,0.26171,0.052,151.86,165.26,-9.78,1.14,-0.078,-1.598,-3.2,深套(price < 60d VWAP -5%),➖ 量价中性,0
601012.SS,"LONGi Green Energy Technology Co., Ltd.",Technology,16.7,27.7,40.6,A,4,127159951360,,37.050125,-0.18,-0.10177,-0.12607999,71.52,18.13,18.7,-7.9,1.18,0.06,-0.206,13.4,深套(price < 60d VWAP -5%),✅ 资金温和净流入,1
601633.SS,Great Wall Motor Company Limited,Consumer Cyclical,19.71,0.8,30.1,A+,5,167212662784,16.84483,8.801802,0.127,0.03975,0.10584,18.187,20.65,21.4,-4.53,1.25,-0.164,-1.089,-15.4,成本附近震荡,🔻 放量下跌 → 主力疑似派发,-2
603160.SS,"Shenzhen Goodix Technology Co., Ltd.",Technology,66.37,13.4,45.9,A+,5,31601100800,41.359756,41.870373,-0.09,0.16354999,0.082720004,3.501,70.3,76.21,-5.6,1.02,-0.109,0.06,-16.3,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
603198.SS,"Anhui Yingjia Distillery Co., Ltd.",Consumer Defensive,36.51,30.1,48.1,A,4,28327999488,14.278226,12.38112,0.089,0.32118,0.17975001,4.348,37.55,39.19,-2.76,1.39,0.04,-0.27,-20.0,成本附近震荡,➖ 量价中性,0
603369.SS,"Jiangsu King's Luck Brewery Joint-Stock Co.,Ltd.",Consumer Defensive,28.8,15.4,62.8,A+,5,34985205760,14.925531,12.343126,-0.152,0.2493,0.1338,8.522,28.48,31.66,1.13,1.28,0.033,-0.205,-0.8,成本附近震荡,➖ 量价中性,0
603392.SS,"Beijing Wantai Biological Pharmacy Enterprise Co., Ltd.",Healthcare,43.31,13.0,60.7,A+,5,53117140992,,73.70175,0.306,-0.20007,-0.0332,2.961,40.82,44.06,6.1,1.14,0.058,0.205,-14.7,套利盘多(price > 60d VWAP +5%),✅ 资金温和净流入,1
603501.SS,"OmniVision Integrated Circuits Group, Inc.",Technology,103.31,20.3,57.0,A,4,130546868224,34.049343,22.28341,-0.009,0.12788,0.12583,30.498,103.4,113.51,-0.09,1.17,0.052,-0.21,-0.1,成本附近震荡,✅ 资金温和净流入,1
603589.SS,"Anhui Kouzi Distillery Co., Ltd.",Consumer Defensive,23.5,2.1,33.1,A+,5,13930203136,35.28788,11.645,-0.24,0.11012,0.03583,0.05,26.21,28.56,-10.34,1.04,-0.152,-1.521,-13.4,深套(price < 60d VWAP -5%),🔻 放量下跌 → 主力疑似派发,-2
603919.SS,"JINHUI LIQUOR Co., Ltd.",Consumer Defensive,19.02,22.5,58.8,A,4,9445181440,29.555557,23.974148,-0.015,0.11203,0.08677,10.46,20.15,20.58,-5.59,0.94,0.295,-0.487,38.5,深套(price < 60d VWAP -5%),⚠️ 异常放量 注意是否突破,1
688271.SS,"Shanghai United Imaging Healthcare Co., Ltd.",Healthcare,114.52,10.0,49.8,A+,5,94374338560,49.57143,31.389803,0.173,0.13339,0.08861,7.421,118.48,126.81,-3.34,1.09,-0.102,-0.372,-7.6,成本附近震荡,🔻 放量下跌 → 主力疑似派发,-2
