symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice
MSFT,403.52,356.28,552.24,24.1,427.54,434.66,441.79,46.3,2.64,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网)
META,606.5,520.26,794.38,31.5,624.31,629.91,635.51,42.4,2.93,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网)
3690.HK,87.6,73.6,149.8,18.4,88.32,104.08,119.84,59.2,2.94,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网)
1810.HK,31.8,28.8,61.45,9.2,34.56,41.86,49.16,51.9,3.38,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网)
0700.HK,462.6,454.0,683.0,3.8,544.8,545.6,546.4,38.9,2.39,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网)
9988.HK,132.8,101.8,186.2,36.7,122.16,135.56,148.96,50.8,3.53,A,4,✅ 多单网格区 - 适合做多/网格做多
JNJ,227.51,142.16,251.71,77.9,170.59,185.98,201.37,47.1,1.69,D,1,"🚫 高点危险区 - 禁开多网,可能见顶"
TSLA,442.61,273.21,498.83,75.1,327.85,363.46,399.06,69.5,3.68,D,1,"🚫 高点危险区 - 禁开多网,可能见顶"
BRK-B,484.06,455.19,516.85,46.8,546.23,479.85,413.48,59.6,1.36,D,1,"🚫 高点危险区 - 禁开多网,可能见顶"
AMZN,265.51,196.0,278.56,84.2,235.2,229.02,222.85,63.3,2.66,D,1,"🚫 高点危险区 - 禁开多网,可能见顶"
V,322.72,293.28,372.57,37.1,351.94,325.0,298.05,55.8,2.39,D,1,"🚫 高点危险区 - 禁开多网,可能见顶"
WMT,130.96,91.13,134.16,92.6,109.35,108.34,107.33,57.2,2.04,D,1,"🚫 高点危险区 - 禁开多网,可能见顶"
JPM,301.68,251.12,334.16,60.9,301.34,284.33,267.33,45.4,2.01,D,1,"🚫 高点危险区 - 禁开多网,可能见顶"
AAPL,295.29,192.7,297.51,97.9,231.23,234.62,238.01,74.0,2.12,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买"
GOOGL,394.77,155.62,402.0,97.1,186.74,254.17,321.6,73.2,2.75,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买"
NVDA,224.76,124.44,227.16,97.7,149.33,165.53,181.73,71.6,3.59,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买"
QQQ,708.94,503.14,714.59,97.3,603.77,587.72,571.67,78.1,1.38,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买"
SPY,738.36,569.08,740.79,98.6,682.89,637.76,592.63,74.8,0.85,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买"
