symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
002230.SZ,49.4,44.98,67.5,19.6,53.98,53.99,54.0,51.7,2.83,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),科大讯飞,算力/服务器
300024.SZ,15.4,14.13,22.0,16.1,16.96,17.28,17.6,53.4,2.84,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),机器人,机器人/智能制造
300229.SZ,19.35,16.3,31.0,20.7,19.56,22.18,24.8,54.6,3.88,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),拓尔思,AI 应用/软件
300168.SZ,5.87,5.2,8.86,18.3,6.24,6.66,7.09,55.4,3.47,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),万达信息,AI 应用/软件
603501.SS,103.51,89.61,156.96,20.6,107.53,116.55,125.57,57.4,3.74,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),韦尔股份,AI 芯片/半导体
002362.SZ,18.98,17.7,28.57,11.8,21.24,22.05,22.86,50.7,2.66,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),汉王科技,AI 应用/软件
000536.SZ,4.06,3.8,6.6,9.3,4.56,4.92,5.28,42.8,2.55,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),华映科技,数据中心/IDC
002241.SZ,26.14,20.08,40.47,29.7,24.1,28.24,32.38,63.3,2.86,A,4,✅ 多单网格区 - 适合做多/网格做多,歌尔股份,AI 芯片/半导体
601360.SS,11.48,9.49,14.68,38.3,11.39,11.57,11.74,55.3,2.87,A,4,✅ 多单网格区 - 适合做多/网格做多,三六零,AI 应用/软件
000063.SZ,38.83,30.55,55.85,32.7,36.66,40.67,44.68,61.8,3.63,A,4,✅ 多单网格区 - 适合做多/网格做多,中兴通讯,算力/服务器
300624.SZ,68.91,54.33,122.8,21.3,65.2,81.72,98.24,47.7,4.2,A,4,✅ 多单网格区 - 适合做多/网格做多,万兴科技,AI 应用/软件
688787.SS,145.29,84.57,198.02,53.5,101.49,129.95,158.42,58.9,4.48,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",海天瑞声,AI 应用/软件
603019.SS,100.71,61.25,128.02,59.1,73.5,87.96,102.41,64.7,3.88,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",中科曙光,算力/服务器
300418.SZ,53.43,29.95,72.09,55.7,35.94,46.81,57.67,53.7,4.57,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",昆仑万维,AI 应用/软件
688981.SS,121.86,80.9,153.0,56.8,97.08,109.74,122.4,65.1,4.44,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",中芯国际,AI 芯片/半导体
300433.SZ,32.69,19.46,43.44,55.2,23.36,29.05,34.75,67.1,3.92,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",蓝思科技,代工/精密制造
002439.SZ,16.61,12.56,17.79,77.4,15.07,14.65,14.23,65.3,3.6,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",启明星辰,AI 应用/软件
300442.SZ,101.62,41.65,106.33,92.7,49.98,67.52,85.06,61.5,6.29,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",润泽科技,数据中心/IDC
002415.SZ,34.49,26.7,37.09,75.0,32.04,30.86,29.67,56.2,3.14,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",海康威视,算力/服务器
002405.SZ,9.67,7.81,11.73,47.4,9.37,9.38,9.38,58.0,2.64,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",四维图新,算力/服务器
601138.SS,70.84,17.38,83.42,80.9,20.86,43.8,66.74,67.4,4.57,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",工业富联,算力/服务器
000977.SZ,77.38,47.21,80.8,89.8,56.65,60.65,64.64,64.0,5.36,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",浪潮信息,算力/服务器
000938.SZ,32.91,22.35,33.93,91.2,26.82,26.98,27.14,63.6,5.76,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",紫光股份,算力/服务器
300033.SZ,250.98,164.69,305.57,61.3,197.63,221.04,244.46,61.6,3.91,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",同花顺,AI 应用/软件
688047.SS,175.5,118.05,203.05,67.6,141.66,152.05,162.44,65.2,6.57,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",龙芯中科,AI 芯片/半导体
002236.SZ,18.33,14.94,21.75,49.8,17.92,17.66,17.4,53.3,2.51,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",大华股份,算力/服务器
300502.SZ,628.99,63.07,630.79,99.7,75.68,290.16,504.63,67.7,5.78,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",新易盛,光模块/光通信
300394.SZ,378.19,47.65,388.94,96.9,57.18,184.17,311.15,62.9,6.31,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",天孚通信,光模块/光通信
300620.SZ,276.88,39.08,282.09,97.9,46.89,136.28,225.67,69.3,6.61,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",光库科技,光模块/光通信
603881.SS,43.41,22.78,45.12,92.3,27.34,31.72,36.1,62.3,4.6,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",数据港,数据中心/IDC
300383.SZ,17.8,12.13,19.16,80.7,14.56,14.94,15.33,54.8,5.89,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",光环新网,数据中心/IDC
000988.SZ,142.1,38.93,150.5,92.5,46.72,83.56,120.4,67.9,5.02,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",华工科技,光模块/光通信
300738.SZ,27.96,17.82,28.22,97.5,21.38,21.98,22.58,63.8,5.43,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",奥飞数据,数据中心/IDC
688008.SS,258.8,71.72,258.8,100.0,86.06,146.55,207.04,82.4,6.07,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",澜起科技,AI 芯片/半导体
