symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
601633.SS,19.54,19.44,26.87,1.3,23.33,22.41,21.5,27.2,1.24,A+,6,🔥 低点危险区 - 抄底机会(也禁开空网) | RSI 超卖,长城汽车,新能源车
000625.SZ,9.09,9.07,13.78,0.4,10.88,10.95,11.02,16.0,1.55,A+,6,🔥 低点危险区 - 抄底机会(也禁开空网) | RSI 超卖,长安汽车,新能源车
601012.SS,16.78,14.07,23.57,28.5,16.88,17.87,18.86,42.4,2.38,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),隆基绿能,光伏
002594.SZ,98.6,85.88,137.07,24.8,103.06,106.36,109.65,43.2,2.28,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),比亚迪,新能源车
600104.SS,13.3,13.28,20.63,0.3,15.94,16.22,16.5,30.9,1.21,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),上汽集团,新能源车
002459.SZ,11.18,9.05,15.54,32.8,10.86,11.65,12.43,52.7,2.73,A,4,✅ 多单网格区 - 适合做多/网格做多,晶澳科技,光伏
300014.SZ,68.5,40.02,94.44,52.3,48.02,61.79,75.55,46.9,4.58,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",亿纬锂能,锂电池
002202.SZ,27.8,8.22,37.03,68.0,9.86,19.74,29.62,56.4,3.89,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",金风科技,风电
002074.SZ,37.39,19.97,49.83,58.3,23.96,31.91,39.86,46.6,4.16,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",国轩高科,锂电池
688599.SS,18.32,12.88,24.26,47.8,15.46,17.43,19.41,63.4,3.61,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",天合光能,光伏
601615.SS,16.6,9.57,26.9,40.6,11.48,16.5,21.52,47.5,4.6,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",明阳智能,风电
300274.SZ,142.65,55.5,208.87,56.8,66.61,116.85,167.1,54.2,3.62,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",阳光电源,光伏
300129.SZ,12.51,6.23,18.42,51.5,7.48,11.11,14.74,52.9,4.82,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",泰胜风能,风电
300750.SZ,434.05,226.31,468.75,85.7,271.57,323.29,375.0,52.9,3.78,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",宁德时代,锂电池
002709.SZ,57.92,16.39,64.98,85.5,19.67,35.83,51.98,59.5,6.57,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",天赐材料,锂电池
002460.SZ,82.99,29.6,91.67,86.0,35.52,54.43,73.34,50.6,4.87,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",赣锋锂业,锂电池
603806.SS,18.99,11.5,20.16,86.5,13.8,14.96,16.13,57.3,3.98,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",福斯特,光伏
002466.SZ,74.38,27.98,82.49,85.1,33.58,49.78,65.99,59.5,5.7,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",天齐锂业,锂电池
002129.SZ,10.19,7.11,11.86,64.8,8.53,9.01,9.49,73.8,3.27,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",TCL中环,光伏
