symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
0700.HK,462.6,454.0,683.0,3.8,544.8,545.6,546.4,38.9,2.39,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),腾讯控股,互联网巨头
3690.HK,87.6,73.6,149.8,18.4,88.32,104.08,119.84,59.2,2.94,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),美团,互联网巨头
9868.HK,62.4,60.2,110.8,4.3,72.24,80.44,88.64,43.1,4.1,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),小鹏汽车,AI 应用
1810.HK,31.8,28.8,61.45,9.2,34.56,41.86,49.16,51.9,3.38,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),小米集团,硬件/半导体
0285.HK,28.62,24.2,46.7,19.6,29.04,33.2,37.36,53.2,3.79,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),比亚迪电子,硬件/半导体
1024.HK,51.6,41.92,92.6,19.1,50.3,62.19,74.08,59.2,4.69,A,4,✅ 多单网格区 - 适合做多/网格做多,快手,互联网巨头
9988.HK,132.8,101.8,186.2,36.7,122.16,135.56,148.96,50.8,3.53,A,4,✅ 多单网格区 - 适合做多/网格做多,阿里巴巴,互联网巨头
2382.HK,65.8,51.5,91.4,35.8,61.8,67.46,73.12,56.1,4.5,A,4,✅ 多单网格区 - 适合做多/网格做多,舜宇光学,硬件/半导体
2015.HK,73.65,61.15,128.1,18.7,73.38,87.93,102.48,57.7,3.73,A,4,✅ 多单网格区 - 适合做多/网格做多,理想汽车,AI 应用
0020.HK,1.98,1.33,2.94,40.4,1.6,1.97,2.35,45.3,3.35,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",商汤,AI 应用
9866.HK,48.32,25.8,61.75,62.6,30.96,40.18,49.4,50.1,4.32,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",蔚来,AI 应用
0981.HK,74.15,38.65,93.5,64.7,46.38,60.59,74.8,62.9,6.26,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",中芯国际,硬件/半导体
9888.HK,137.5,79.35,161.2,71.0,95.22,112.09,128.96,63.2,4.09,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",百度,互联网巨头
9698.HK,43.9,23.1,46.94,87.2,27.72,32.64,37.55,55.2,4.67,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",万国数据,云计算/数据中心
9618.HK,128.2,95.47,143.16,68.6,114.57,114.55,114.53,73.4,2.32,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",京东集团,互联网巨头
