symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
000858.SZ,89.15,88.74,130.68,1.0,106.49,105.52,104.55,16.4,2.02,A+,6,🔥 低点危险区 - 抄底机会(也禁开空网) | RSI 超卖,五粮液,白酒
000568.SZ,92.7,92.22,144.29,0.9,110.66,113.05,115.43,25.3,2.53,A+,6,🔥 低点危险区 - 抄底机会(也禁开空网) | RSI 超卖,泸州老窖,白酒
002304.SZ,47.02,46.79,75.5,0.8,56.15,58.27,60.4,26.8,1.53,A+,6,🔥 低点危险区 - 抄底机会(也禁开空网) | RSI 超卖,洋河股份,白酒
000799.SZ,42.95,38.68,76.8,11.2,46.42,53.93,61.44,46.5,3.03,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),酒鬼酒,白酒
000596.SZ,99.29,99.1,175.67,0.2,118.92,129.73,140.53,35.4,3.35,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),古井贡酒,白酒
603369.SS,28.06,25.34,47.84,12.1,30.41,34.34,38.27,55.4,3.41,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),今世缘,白酒
600809.SS,133.8,133.0,212.5,1.0,159.6,164.8,170.0,35.4,3.25,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),山西汾酒,白酒
603919.SS,18.62,17.04,25.86,17.9,20.45,20.57,20.68,53.5,3.16,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),金徽酒,白酒
603198.SS,35.41,31.35,48.51,23.7,37.62,38.22,38.81,43.2,4.49,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),迎驾贡酒,白酒
603589.SS,23.29,23.23,35.79,0.5,27.88,28.25,28.63,30.9,2.01,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),口子窖,白酒
600519.SS,1344.09,1322.01,1586.29,8.4,1586.41,1427.72,1269.03,32.0,1.5,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",贵州茅台,白酒
