symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
600760.SS,49.07,40.95,73.48,25.0,49.14,53.96,58.78,48.3,2.52,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),中航沈飞,航空
000768.SZ,25.26,22.61,31.96,28.3,27.13,26.35,25.57,57.2,2.29,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),中航西飞,航空
600316.SS,34.36,29.5,47.66,26.8,35.4,36.76,38.13,36.4,5.31,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),洪都航空,船舶/海军
600271.SS,8.63,8.03,13.99,10.1,9.64,10.41,11.19,50.0,2.52,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),航天信息,材料/制造
002465.SZ,16.5,10.28,26.62,38.1,12.34,16.82,21.3,54.7,3.48,A,4,✅ 多单网格区 - 适合做多/网格做多,海格通信,材料/制造
600391.SS,44.57,22.75,58.31,61.4,27.3,36.97,46.65,61.7,5.12,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",航发科技,航空
002414.SZ,14.89,7.34,18.62,66.9,8.81,11.85,14.9,60.3,3.31,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",高德红外,电子信息
600562.SS,27.46,20.27,36.45,44.4,24.33,26.74,29.16,49.5,3.36,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",国睿科技,电子信息
600893.SS,51.38,32.04,63.78,60.9,38.45,44.74,51.02,56.1,4.71,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",航发动力,航空
600118.SS,112.0,25.29,127.77,84.6,30.35,66.28,102.22,67.8,6.1,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",中国卫星,电子信息
600685.SS,32.57,22.89,38.55,61.8,27.47,29.16,30.84,59.8,3.58,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",中船防务,材料/制造
600150.SS,41.77,28.55,43.42,88.9,34.26,34.5,34.74,72.0,3.91,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",中国船舶,船舶/海军
