symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
600436.SS,137.85,137.63,217.02,0.3,165.16,169.39,173.62,28.1,1.64,A+,6,🔥 低点危险区 - 抄底机会(也禁开空网) | RSI 超卖,片仔癀,中药
300760.SZ,165.94,154.6,253.91,11.4,185.52,194.32,203.12,50.0,2.55,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),迈瑞医疗,创新药
600276.SS,55.86,48.7,74.04,28.2,58.45,58.84,59.23,52.7,3.08,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),恒瑞医药,创新药
688271.SS,114.51,109.01,164.36,9.9,130.81,131.15,131.48,49.8,2.48,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),联影医疗,医疗器械
600085.SS,27.77,27.18,37.84,5.5,32.62,31.44,30.27,45.7,1.25,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),同仁堂,中药
000963.SZ,33.27,33.0,46.97,1.9,39.6,38.59,37.58,38.8,1.92,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),华东医药,中药
300347.SZ,49.09,41.37,71.9,25.3,49.64,53.58,57.52,32.9,5.06,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),泰格医药,创新药
603392.SS,42.01,37.85,80.0,9.9,45.42,54.71,64.0,55.2,3.85,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),万泰生物,疫苗
300122.SZ,15.6,14.45,26.0,10.0,17.34,19.07,20.8,50.9,3.14,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),智飞生物,疫苗
688235.SS,260.8,213.33,346.0,35.8,256.0,266.4,276.8,59.5,4.07,A,4,✅ 多单网格区 - 适合做多/网格做多,百济神州,创新药
688180.SS,40.23,28.24,51.4,51.8,33.89,37.5,41.12,51.5,4.5,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",君实生物,创新药
300677.SZ,50.07,21.93,68.44,60.5,26.31,40.53,54.75,40.3,6.75,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",英科医疗,医疗器械
002821.SZ,126.68,71.13,132.98,89.8,85.36,95.87,106.38,59.5,4.47,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",凯莱英,创新药
603259.SS,108.92,55.31,115.41,89.2,66.38,79.35,92.33,58.4,3.57,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",药明康德,创新药
000538.SZ,51.65,51.56,57.89,1.4,61.87,54.09,46.32,30.6,0.96,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",云南白药,中药
