symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
601012.SS,16.78,14.07,23.57,28.5,16.88,17.87,18.86,42.4,2.38,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),隆基绿能,硅料/硅片
601865.SS,13.72,13.16,20.26,7.9,15.79,16.0,16.21,41.2,3.02,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),福莱特,电池/组件
002459.SZ,11.18,9.05,15.54,32.8,10.86,11.65,12.43,52.7,2.73,A,4,✅ 多单网格区 - 适合做多/网格做多,晶澳科技,电池/组件
300118.SZ,19.39,8.58,25.99,62.1,10.3,15.54,20.79,63.7,5.07,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",东方日升,硅料/硅片
688472.SS,15.26,8.32,24.28,43.5,9.99,14.71,19.42,64.9,4.14,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",阿特斯,电池/组件
688599.SS,18.32,12.88,24.26,47.8,15.46,17.43,19.41,63.4,3.61,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",天合光能,电池/组件
300274.SZ,142.65,55.5,208.87,56.8,66.61,116.85,167.1,54.2,3.62,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",阳光电源,逆变器
300763.SZ,102.31,50.16,124.0,70.6,60.19,79.69,99.2,57.1,5.6,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",锦浪科技,逆变器
603806.SS,18.99,11.5,20.16,86.5,13.8,14.96,16.13,57.3,3.98,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",福斯特,辅材
300827.SZ,40.6,21.39,49.47,68.4,25.67,32.62,39.58,59.1,3.64,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",上能电气,逆变器
002709.SZ,57.92,16.39,64.98,85.5,19.67,35.83,51.98,59.5,6.57,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",天赐材料,辅材
002129.SZ,10.19,7.11,11.86,64.8,8.53,9.01,9.49,73.8,3.27,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",TCL中环,硅料/硅片
