symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
603160.SS,66.37,63.1,87.53,13.4,75.72,72.87,70.02,45.9,2.96,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),汇顶科技,HBM/先进封装
002230.SZ,48.83,44.93,67.5,17.3,53.92,53.96,54.0,48.7,2.82,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),科大讯飞,存储服务器/系统
603690.SS,26.87,23.41,40.43,20.3,28.09,30.22,32.34,59.1,3.53,A,4,✅ 多单网格区 - 适合做多/网格做多,至纯科技,存储模组/制造
603893.SS,179.43,139.21,249.58,36.4,167.05,183.36,199.66,56.8,3.52,A,4,✅ 多单网格区 - 适合做多/网格做多,瑞芯微,存储芯片设计
002049.SZ,79.59,61.32,94.83,54.5,73.58,74.72,75.86,62.6,3.46,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",紫光国微,存储模组/制造
000977.SZ,73.13,47.21,80.8,77.2,56.65,60.65,64.64,57.4,5.8,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",浪潮信息,存储服务器/系统
688385.SS,73.61,43.94,99.97,53.0,52.73,66.35,79.98,53.7,5.36,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",复旦微电,存储芯片设计
601138.SS,64.4,17.38,83.42,71.2,20.86,43.8,66.74,57.4,4.52,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",工业富联,存储服务器/系统
603019.SS,97.42,61.25,128.02,54.2,73.5,87.96,102.41,60.6,3.89,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",中科曙光,存储服务器/系统
300053.SZ,19.66,11.17,25.86,57.8,13.4,17.05,20.69,59.8,4.48,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",欧比特,存储材料/设备
688981.SS,121.98,80.9,153.0,57.0,97.08,109.74,122.4,65.3,4.26,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",中芯国际,HBM/先进封装
002156.SZ,59.48,22.86,62.23,93.0,27.43,38.61,49.78,69.0,5.19,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",通富微电,存储模组/制造
688012.SS,388.45,164.61,412.22,90.4,197.53,263.65,329.78,69.6,5.07,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",中微公司,HBM/先进封装
688123.SS,158.7,65.93,190.58,74.4,79.11,115.79,152.46,71.2,7.03,D,1,"⚠️ 空单网格区 - 偏高,可空单网格 | RSI 超买",聚辰股份,存储芯片设计
300042.SZ,65.1,21.37,71.63,87.0,25.64,41.47,57.3,68.8,6.69,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",朗科科技,存储模组/制造
002409.SZ,93.86,50.92,100.94,85.8,61.1,70.93,80.75,60.7,4.84,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",雅克科技,存储材料/设备
688521.SS,271.99,81.1,296.96,88.4,97.32,167.44,237.57,59.3,7.25,D,1,"🚫 高点危险区 - 禁开多网,可能见顶",芯原股份,存储材料/设备
300661.SZ,103.38,61.84,105.33,95.5,74.21,79.24,84.26,76.6,5.62,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",圣邦股份,存储模组/制造
300672.SZ,233.4,64.91,239.58,96.5,77.9,134.78,191.66,74.0,6.48,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",国科微,存储芯片设计
300223.SZ,146.83,62.4,151.98,94.3,74.89,98.23,121.58,72.4,4.97,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",北京君正,存储芯片设计
688008.SS,240.7,71.72,252.32,93.6,86.06,143.96,201.86,79.5,5.94,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",澜起科技,存储芯片设计
688200.SS,373.6,128.39,389.0,94.1,154.07,232.63,311.2,74.1,6.16,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",华峰测控,存储材料/设备
300814.SZ,121.5,26.63,129.6,92.1,31.95,67.82,103.68,77.2,5.89,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",中富电路,存储材料/设备
688041.SS,349.19,131.97,358.8,95.8,158.36,222.7,287.04,73.2,5.96,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",海光信息,存储服务器/系统
002371.SZ,581.45,296.38,585.0,98.8,355.65,411.83,468.0,73.6,4.73,D,0,"🚫 高点危险区 - 禁开多网,可能见顶 | RSI 超买",北方华创,HBM/先进封装
