symbol,price,52w_low,52w_high,position_pct,long_zone_low,long_zone_mid,short_zone_high,rsi,atr_pct,rating,score,advice,name,theme
VST,141.4,138.34,219.21,3.8,166.01,170.69,175.37,36.5,5.42,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),Vistra (核电+数据中心),核电运营商
CEG,275.68,242.97,411.68,19.4,291.57,310.45,329.34,38.1,5.82,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),Constellation (美最大核电),核电运营商
NRG,131.13,129.24,189.38,3.1,155.09,153.29,151.5,31.1,4.61,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),NRG Energy,核电运营商
PEG,76.67,73.62,89.11,19.6,88.35,79.82,71.29,37.5,2.1,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),Public Service (核电),核电运营商
SMR,12.2,8.85,57.42,6.9,10.62,28.28,45.94,50.6,9.65,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),NuScale Power (SMR 龙头),小型模块化核电 SMR
FE,44.0,37.75,51.81,44.5,45.3,43.37,41.44,23.1,2.1,A+,5,✅ 多单网格区 - 适合做多/网格做多 | RSI 超卖,FirstEnergy,电力公用 (AI 受益)
STEM,8.79,5.93,32.23,10.9,7.11,16.45,25.78,38.7,10.16,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),Stem Inc (AI 储能),电网/储能
EXE,95.34,90.09,125.93,14.7,108.1,104.42,100.75,39.1,2.72,A+,5,🔥 低点危险区 - 抄底机会(也禁开空网),Expand Energy,天然气/燃气发电
OKLO,70.15,29.17,193.84,24.9,35.0,95.04,155.07,52.0,9.99,A,4,✅ 多单网格区 - 适合做多/网格做多,Oklo (微型反应堆),小型模块化核电 SMR
EXC,44.25,40.64,50.65,36.1,48.76,44.64,40.52,35.3,2.19,A,4,✅ 多单网格区 - 适合做多/网格做多,Exelon (输配电),电力公用 (AI 受益)
LEU,198.93,90.25,464.25,29.1,108.3,239.85,371.4,47.6,8.95,A,4,✅ 多单网格区 - 适合做多/网格做多,Centrus Energy (铀浓缩),小型模块化核电 SMR
PRIM,113.02,68.33,205.5,32.6,81.99,123.2,164.4,36.4,13.88,A,4,✅ 多单网格区 - 适合做多/网格做多,Primoris Services,数据中心电力解决方案
EQT,55.8,48.06,68.05,38.7,57.67,56.05,54.44,36.3,2.63,A,4,✅ 多单网格区 - 适合做多/网格做多,EQT Corp (天然气),天然气/燃气发电
AR,36.48,29.1,45.75,44.3,34.92,35.76,36.6,40.8,3.35,A,4,✅ 多单网格区 - 适合做多/网格做多,Antero Resources,天然气/燃气发电
UEC,15.61,5.03,20.34,69.1,6.04,11.15,16.27,54.8,7.71,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",Uranium Energy (铀矿),小型模块化核电 SMR
CCJ,116.04,49.93,135.24,77.5,59.92,84.06,108.19,48.1,5.67,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",Cameco (铀矿),小型模块化核电 SMR
BWXT,208.37,105.77,241.82,75.4,126.92,160.19,193.46,45.4,4.88,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",BWX Technologies (核燃料/反应堆),小型模块化核电 SMR
SO,92.57,80.45,99.58,63.4,96.54,88.1,79.66,42.5,1.67,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",Southern Company,核电运营商
DUK,123.58,107.42,134.49,59.7,128.9,118.25,107.59,36.8,1.6,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",Duke Energy,核电运营商
SEDG,42.63,13.73,53.75,72.2,16.48,29.74,43.0,50.4,8.47,C,2,"⚠️ 空单网格区 - 偏高,可空单网格",SolarEdge,电网/储能
